,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
239,2009,6/15/2021 13:44,2021-06-15 11:25:00,8,FALSE,Almond,Alicia,1,Middle Eastern or South Asian,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45mph in 25mph zone,Citation for infraction,2021-06-15 11:25:00,1,
240,2011,6/15/2021 14:06,2021-06-15 13:55:00,9,FALSE,Almond,Alicia,1,Asian,,FALSE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in 25mph zone,Citation for infraction,2021-06-15 13:55:00,1,
241,2032,6/17/2021 7:59,2021-06-17 7:47:00,8,FALSE,Almond,Alicia,1,White,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-06-17 7:47:00,1,
242,2072,6/22/2021 10:54,2021-06-22 10:45:00,8,FALSE,Foothill Expwy,Arastradero,1,Asian,,FALSE,60,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 45,Citation for infraction,2021-06-22 10:45:00,1,
243,2074,6/23/2021 10:49,2021-06-23 10:34:00,10,FALSE,Almond,Sunkist,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-06-23 10:34:00,1,
244,2075,6/23/2021 13:53,2021-06-23 13:35:00,16,FALSE,Almond,Alicia,1,Middle Eastern or South Asian,,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-06-23 13:35:00,1,
245,2076,6/23/2021 14:37,2021-06-23 14:25:00,8,FALSE,Foothill Expwy,Arastradero,1,White,,FALSE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 45,Citation for infraction,2021-06-23 14:25:00,1,
246,2077,6/23/2021 14:56,2021-06-23 14:45:00,8,FALSE,Foothill Expwy,Arastradero,1,White,,FALSE,60,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63mph in a 45,Citation for infraction,2021-06-23 14:45:00,1,
247,2078,6/23/2021 15:10,2021-06-23 14:35:00,15,FALSE,Almond ave,,1,Asian,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in 25mph zone,Citation for infraction,2021-06-23 14:35:00,1,
248,2079,6/23/2021 15:11,2021-06-23 15:00:00,8,FALSE,Foothill Expwy,Arastradero,1,Middle Eastern or South Asian,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62mph in 45,Citation for infraction,2021-06-23 15:00:00,1,
249,2081,6/23/2021 15:57,2021-06-23 15:40:00,10,FALSE,Almond,Alicia,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,46mph in a 25mph zone,Citation for infraction,2021-06-23 15:40:00,1,
250,2082,6/23/2021 15:58,2021-06-23 15:40:00,8,FALSE,1st st,Edith,1,Hispanic/Latino(a),,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62mph in a 45,Citation for infraction,2021-06-23 15:40:00,1,
